Developer / Researcher,Treatment vs. Vaccine,Product Category,Stage of Development,Anticipated Next Steps,Product Description,Clinical Trials for COVID-19,Funder,Published Results,Clinical Trials for Other Diseases (T only) / Related Use or Platform (V only),FDA-Approved Indications,Sources,Date Last Updated
Roivant Sciences,Treatment,Antibodies,Clinical,Phase II study started in April 2020,"Gimsilumab, anti-granulocyte-macrophage colony stimulating factor monoclonal",NCT04351243,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/14/2020
Generation Bio/ Vir Biotechnology,Treatment,Antibodies,Pre-clinical,Phase I trials for IN01 vaccine treatment in ex-COVID patients began Oct 2020,Non-viral gene therapy to produce monoclonal antibodies,NCT04537130,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/6/2020
Edesa Biotech/ Light Chain Bioscience (NovImmune),Treatment,Antibodies,Clinical,Phase I/II not yet recruiting July 2020,"EB05, non-steroidal anti-inflammatory molecule (sPLA2 inhibitor) ",Phase II trials FDA to begin Oct 2020; NCT04401475,Unknown,,ARDS,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,10/21/2020
University of Hong Kong (BMS),Treatment,Antibodies,Clinical,Phase II study not yet recruiting,"Opdivo (nivolumab), PD-1 blocking antibody","NCT04356508, NCT04333914, NCT04405271, NCT04343144",Unknown,,,"FDA-approved since 2014, approved to treat melanoma and squamous non-small cell lung cancer",https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,8/11/2020
Atreca / BeiGene / IGM Biosciences/ Singlomics,Treatment,Antibodies,Pre-clinical,Phase I/II trials to begin in Oct 2020,"Novel IgM and IgA antibodies 
", NCT04511949,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,12/8/2020
Ablexis / AlivaMab Discovery Services / Berkeley Lights Collaborate,Treatment,Antibodies,Pre-clinical,Unknown,Antibodies,,Unknown,,,"N/A
",https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,8/26/2020
Implicit Bioscience,Treatment,Antibodies,Clinical,Phase II not yet recruiting July 2020; Expanded access protocols,"IC14, recombinant chimeric anti-CD14 monoclonal antibody","NCT04346277, NCT04391309",Unknown,,Acute Respiratory Distress Syndrome,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,10/30/2020
Numerous trials with Chinese research sponsors; Roche,Treatment,Antibodies,Clinical,Phase II/III studies recruiting April 2020,"Avastin (bevacizumab), vascular endothelial growth factor inhibitor","NCT04275414, NCT04305106, NCT04344782, EudraCT 2020-001246-18",Unknown,medRxiv (https://www.medrxiv.org/content/10.1101/2020.07.26.20159756v1.full.pdf),,"FDA-approved since 2004, approved to treat certain types of cancer",https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,9/23/2020
Numerous trials with Chinese research sponsors,Treatment,Antibodies,Clinical,Phase II study not yet recruiting,PD-1 blocking antibody; Thymosin,"NCT04268537, ChiCTR2000030028 ",Unknown,,,Unknown,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,12/8/2020
Centivax (Distributed Bio),Treatment,Antibodies,Pre-clinical,Released hamster study results in June 2020,Antibody,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/29/2020
Tang-Du Hospital,Treatment,Antibodies,Clinical,Results released July 2020; Phase II/III efficacy trials begin Oct 2020,"meplazumab, anti-CD147 antibody","NCT04275245, NCT04586153",Chinese National Science and Technology Major Project,"medRxiv (https://doi.org/10.1101/2020.03.21.20040691), Nature (https://www.nature.com/articles/s41392-020-00426-x)",,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,12/8/2020
Regeneron/ NIAID,Treatment,Antibodies,Clinical,Joined Operation Warp Speed in July 2020; Phase III prevention trial with NIAID starts July 2020; Phase 2 stage of 1/2/3 treatment trial started July 2020; Phase 3 starts Aug 2020; compassionate use/expanded access requested Oct 2020. FDA Emergency Use Authorization Nov 2020.,Antibody combination REGN-COV2 (REGN10933+REGN10987) against the spike protein,"NCT04425629, NCT04426695, NCT04452318, NCT04617535",Biomedical Advanced Research and Development Authority (BARDA)/ US Department of Defense,https://science.sciencemag.org/content/370/6520/1110,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,12/2/2020
AstraZeneca; ACCORD trial ,Treatment,Antibodies,Clinical,ACCORD Phase II trial to start May 2020,"MEDI3506, monoclonal antibody targeting interleukin 33",EudraCT 2020-001736-95 (ACCORD Trial),UK Government (ACCORD study),,Chronic Obstructive Pulmonary Diesase,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/15/2020
Ligand Pharmaceuticals,Treatment,Antibodies,Pre-clinical,Unknown,Antibodies (OmniChicken platform),,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/13/2020
