Athlete,Sport,Substance/Reason,Sanction Terms,Sanction Announced
"Ronson, Jesse",Mixed Martial Arts,Metandienone,20-Month Suspension,11/18/2020
"Hipona, Alissandra",Weightlifting,Non-Analytical: Possession and Use/Attempted Use,2-Year Suspension,11/09/2020
"Hudson, Ryan",Weightlifting,Androgenic Anabolic Steroid,8-Year Suspension; Loss of Results,Original 12/20/2018; Updated 11/04/2020
"Bey, Kamal",Wrestling,Non-Analytical: 3 Whereabouts Failures,1-Year Suspension; Loss of Results,10/30/2020
"Brown, Jamie",Paralympic Triathlon,Hydrochlorothiazide (HCTZ),No Fault or Negligence,10/28/2020
"Sherman, Chase",Mixed Martial Arts,Anastrozole,9-Month Suspension,10/20/2020
"Paparella, Flavia",Cycling,Vilanterol,6-Month Suspension; Loss of Results,10/19/2020
"Martin, Jeff",Cycling,Androgenic Anabolic Steroid,2-Year Suspension; Loss of Results,10/01/2020
"Millican, Morgan",Weightlifting,Clomiphene,2-Year Suspension; Loss of Results,09/29/2020
"Harroufi, Ridouane",Track and Field,Androgenic Anabolic Steroid,8-Year Suspension; Loss of Results,09/24/2020
"Fritzen Procopio, Lara",Mixed Martial Arts,Ostarine,6-Month Suspension,09/21/2020
"McCullough, Matthew",Weightlifting,Higenamine,20-Month Suspension; Loss of Results,09/17/2020
"Gonzalez Villa, Jorge",Mixed Martial Arts,Stanozolol; Drostanolone,2-Year Suspension,09/11/2020
"Wood, Jonathan",Cycling,Androgenic Anabolic Steroid,2-Year Suspension,09/09/2020
"Parlor, Tiffany",Weightlifting,Non-Analytical: Possession and Use/Attempted Use,4-Year Suspension,09/08/2020
"Fix, Daton",Wrestling,Ostarine,1-Year Suspension; Loss of Results,09/08/2020
"Doskalchuk, Oleksandr",Mixed Martial Arts,Mesterolone,14-Month Suspension,09/02/2020
"Murdock, Vince",Mixed Martial Arts,GW1516,20-Month Suspension - Sanction Reduced,Original: 09/05/2019; Updated: 08/26/2020
"Gicquel, Barbara",Cycling,Methyltestosterone,1-Year Suspension; Loss of Results,08/14/2020
"Dombrovskiy, Vladyslav",Wrestling,Non-Analytical: Possession and Use/Attempted Use; Refusal to Submit to Sample Collection,4-Year Suspension; Loss of Results,07/28/2020
"Melendez, Gilbert",Mixed Martial Arts,GHRP-6,2-Year Suspension,07/27/2020
"Rante, Danielle",Weightlifting,19-norandrosterone (19-NA),4-Year Suspension; Loss of Results,07/22/2020
"Woolsey, Taff",Weightlifting,Non-Analytical: Possession (Exemestane),2-Year Suspension; Loss of Results,07/22/2020
"Castille, Kevin",Track and Field,19-norandrosterone (19-NA),4-Year Suspension; Loss of Results,07/16/2020
"Prusmack, Jeff",Weightlifting,Non-Analytical: Possession and Use/Attempted Use,4-Year Suspension; Loss of Results,07/02/2020
"Alonso, Leynier",Cycling,Phentermine,4-Year Suspension; Loss of Results,06/30/2020
"Arruda da Silva, Bruno",Mixed Martial Arts,Boldenone,2-Year Suspension,06/22/2020
"Ostovich-Berdon, Rachael",Mixed Martial Arts,Ostarine; GW1516,1-Year Suspension,06/18/2020
"Fuchs, Virginia",Boxing,Letrozole; GW1516,No Fault or Negligence,06/11/2020
"Nickles, Madilyn",Softball,LGD-4033,No Fault or Negligence,06/11/2020
"Glanville, Justin",Weightlifting,Non-Analytical: Possession and Use/Attempted Use,4-Year Suspension; Loss of Results,06/09/2020
"Walsh, Cole",Track and Field,Cannabinoids,6-Month Suspension with 3-Month Deferral; Loss of Results,06/01/2020
"Romero Noboa, Isidro",Triathlon,Androgenic Anabolic Steroid; Cannabinoids; Anastrozole; Clomiphene; GW1516,4-Year Suspension; Loss of Results,05/22/2020
"Gastelum, Kelvin",Mixed Martial Arts,Cannabinoids,9-Month Suspension with 5-Month Deferral,05/11/2020
"Ortiz, Robert",Weightlifting,Cannabinoids,12-Month Suspension with 6-Month Deferral; Loss of Results,05/04/2020
"Hurst, Rowdy",Weightlifting,Androgenic Anabolic Steroid; Clomiphene; Modafinil,4-Year Suspension; Loss of Results,04/24/2020
"Saccente, Nicholas",Weightlifting,Non-Analytical: Possession and Use/Attempted Use; Non-Analytical: 3 Whereabouts Failures,8-Year Suspension; Loss of Results; Sanction tolled due to retirement,04/16/2020
"Penchel, Lucas",Mixed Martial Arts,Non-Analytical: Complicity,2-Year Suspension,03/23/2020
"Gleaves, John",Cycling,Oxandrolone; Clomiphene,4-Year Suspension; Loss of Results,03/20/2020
"Bond, Daniel",Cycling,Non-Analytical: Refusal to Submit to Sample Collection,4-Year Suspension; Loss of Results,03/18/2020
"Aguero, Manuel",Weightlifting,Amphetamine; Modafinil,4-Year Suspension; Loss of Results,03/12/2020
"Phongsavanh, Justin",Paralympic Track and Field,Torsemide,No Fault or Negligence,03/11/2020
"Jones, Addison",Weightlifting,Cannabinoids,6-Month Suspension with 3-Month Deferral; Loss of Results,03/05/2020
"Penne, Jessica",Mixed Martial Arts,Stanozolol,20-Month Suspension,02/28/2020
"de Padua, Isabela",Mixed Martial Arts,19-norandrosterone (19-NA),2-Year Suspension,02/27/2020
"Strange, Robert",Weightlifting,Dehydroepiandrosterone (DHEA),1-Year Suspension; Loss of Results,02/21/2020
"Prazeres, Michel",Mixed Martial Arts,Boldenone,2-Year Suspension,02/11/2020
"Duarte, Kaynan",Brazilian Jiu-Jitsu,Ostarine,1-Year Suspension,02/07/2020
"Saint Preux, Ovince",Mixed Martial Arts,Ostarine; LGD-4033; GW1516,3-Month Suspension,01/31/2020
"Sanchez, Diego",Mixed Martial Arts,"Ostarine, S-23",3-Month Suspension,01/31/2020
"Werdum, Fabricio",Mixed Martial Arts,Trenbolone,2-Year Suspension - Sanction Reduced,Original 09/11/2018; Updated 01/16/2020
"O'Malley, Sean",Mixed Martial Arts,Ostarine,6-Month Suspension,01/09/2020
"Townsend, Dequan",Mixed Martial Arts,"Cocaine, Fentanyl",6-Month Suspension,01/08/2020
"Dumala, Samantha",Waterskiing,Spironolactone,Public Warning,01/07/2020
"Dreaver, Ted",Weightlifting,Androgenic Anabolic Steroid,39-Month Suspension; Loss of Results,01/06/2020
"Martinez, Cristofer",Weightlifting,5-methylhexan-2-amine,2-Year Suspension; Loss of Results,12/27/2019
"Taha, Khalid",Mixed Martial Arts,Furosemide,1-Year Suspension,12/23/2019
"Glasgow, Scott",Weightlifting,Non-Analytical: Complicity,4-Year Suspension,12/20/2019
"Merrell, Miranda",Weightlifting,Oxandrolone,2-Year Suspension; Loss of Results,12/19/2019
"Cachoeira Gomes da Silva, Priscila",Mixed Martial Arts,Hydrochlorothiazide,4-Month Suspension,12/18/2019
"Gochenour, Alexandria",Track and Field,Ostarine,4-Year Suspension; Loss of Results,12/17/2019
"Shafer, Janelle",Weightlifting,Ostarine,4-Year Suspension; Loss of Results,12/17/2019
