date,BMRN,NVS,GSK,AZN,LLY
2020-01-31,83.5,87.682022,43.764076,46.451073,136.325607
2020-02-29,90.370003,77.894211,38.430115,42.628674,123.77449
2020-03-31,84.5,79.269135,35.926895,43.465675,136.129379
2020-04-30,92.019997,81.461182,39.890331,50.881893,151.75206
2020-05-31,106.550003,84.057014,40.191959,53.139851,150.800217
2020-06-30,123.339996,83.970482,39.108547,51.475582,161.872375
2020-07-31,119.809998,78.9711,38.657921,54.288296,148.177612
2020-08-31,78.029999,82.739868,38.414982,54.938122,147.017487
2020-09-30,76.080002,83.605141,36.513634,53.760876,146.650909
2020-10-31,74.43,75.067734,32.419914,49.208862,129.253326
2020-11-30,78.699997,87.325844,36.14679,51.936146,145.044281
2020-12-31,86.959999,90.719658,36.392418,49.228481,166.315445
