geo_type,region,trans_type,sub_region,country,date,dir_request
city,Chicago,driving,Illinois,United States,2020-01-13,100
city,Chicago,driving,Illinois,United States,2020-01-14,103.68
city,Chicago,driving,Illinois,United States,2020-01-15,104.45
city,Chicago,driving,Illinois,United States,2020-01-16,108.72
city,Chicago,driving,Illinois,United States,2020-01-17,132.8
city,Chicago,driving,Illinois,United States,2020-01-18,113.44
city,Chicago,driving,Illinois,United States,2020-01-19,87.48
city,Chicago,driving,Illinois,United States,2020-01-20,100.24
city,Chicago,driving,Illinois,United States,2020-01-21,101.3
city,Chicago,driving,Illinois,United States,2020-01-22,100.51
city,Chicago,driving,Illinois,United States,2020-01-23,104.47
city,Chicago,driving,Illinois,United States,2020-01-24,121.92
city,Chicago,driving,Illinois,United States,2020-01-25,118.55
city,Chicago,driving,Illinois,United States,2020-01-26,85.17
city,Chicago,driving,Illinois,United States,2020-01-27,93.81
city,Chicago,driving,Illinois,United States,2020-01-28,97.36
city,Chicago,driving,Illinois,United States,2020-01-29,98.96
city,Chicago,driving,Illinois,United States,2020-01-30,103.79
city,Chicago,driving,Illinois,United States,2020-01-31,124.37
city,Chicago,driving,Illinois,United States,2020-02-01,122.53
city,Chicago,driving,Illinois,United States,2020-02-02,85.96
city,Chicago,driving,Illinois,United States,2020-02-03,94.62
city,Chicago,driving,Illinois,United States,2020-02-04,97.39
city,Chicago,driving,Illinois,United States,2020-02-05,102.86
city,Chicago,driving,Illinois,United States,2020-02-06,103.66
city,Chicago,driving,Illinois,United States,2020-02-07,117.63
city,Chicago,driving,Illinois,United States,2020-02-08,124.27
city,Chicago,driving,Illinois,United States,2020-02-09,88.41
city,Chicago,driving,Illinois,United States,2020-02-10,98.78
city,Chicago,driving,Illinois,United States,2020-02-11,105.64
city,Chicago,driving,Illinois,United States,2020-02-12,108.54
city,Chicago,driving,Illinois,United States,2020-02-13,115.99
city,Chicago,driving,Illinois,United States,2020-02-14,147.32
city,Chicago,driving,Illinois,United States,2020-02-15,141.24
city,Chicago,driving,Illinois,United States,2020-02-16,111.31
city,Chicago,driving,Illinois,United States,2020-02-17,111.07
city,Chicago,driving,Illinois,United States,2020-02-18,104.69
city,Chicago,driving,Illinois,United States,2020-02-19,105.82
city,Chicago,driving,Illinois,United States,2020-02-20,110.84
city,Chicago,driving,Illinois,United States,2020-02-21,132.55
city,Chicago,driving,Illinois,United States,2020-02-22,138.5
city,Chicago,driving,Illinois,United States,2020-02-23,100.83
city,Chicago,driving,Illinois,United States,2020-02-24,99.41
city,Chicago,driving,Illinois,United States,2020-02-25,100.35
city,Chicago,driving,Illinois,United States,2020-02-26,103.39
city,Chicago,driving,Illinois,United States,2020-02-27,114.33
city,Chicago,driving,Illinois,United States,2020-02-28,139.02
city,Chicago,driving,Illinois,United States,2020-02-29,142.31
city,Chicago,driving,Illinois,United States,2020-03-01,105.39
city,Chicago,driving,Illinois,United States,2020-03-02,105.25
city,Chicago,driving,Illinois,United States,2020-03-03,108.28
city,Chicago,driving,Illinois,United States,2020-03-04,110.71
city,Chicago,driving,Illinois,United States,2020-03-05,116.43
city,Chicago,driving,Illinois,United States,2020-03-06,137.62
city,Chicago,driving,Illinois,United States,2020-03-07,144.91
city,Chicago,driving,Illinois,United States,2020-03-08,107.11
city,Chicago,driving,Illinois,United States,2020-03-09,105.68
city,Chicago,driving,Illinois,United States,2020-03-10,109.76
city,Chicago,driving,Illinois,United States,2020-03-11,107.34
city,Chicago,driving,Illinois,United States,2020-03-12,105.61
city,Chicago,driving,Illinois,United States,2020-03-13,118.59
city,Chicago,driving,Illinois,United States,2020-03-14,104.18
city,Chicago,driving,Illinois,United States,2020-03-15,73.81
city,Chicago,driving,Illinois,United States,2020-03-16,79.01
city,Chicago,driving,Illinois,United States,2020-03-17,73.67
city,Chicago,driving,Illinois,United States,2020-03-18,64.5
city,Chicago,driving,Illinois,United States,2020-03-19,62.72
city,Chicago,driving,Illinois,United States,2020-03-20,68.97
city,Chicago,driving,Illinois,United States,2020-03-21,51.2
city,Chicago,driving,Illinois,United States,2020-03-22,33.74
city,Chicago,driving,Illinois,United States,2020-03-23,44.91
city,Chicago,driving,Illinois,United States,2020-03-24,48.52
city,Chicago,driving,Illinois,United States,2020-03-25,52.11
city,Chicago,driving,Illinois,United States,2020-03-26,49.1
city,Chicago,driving,Illinois,United States,2020-03-27,54.99
city,Chicago,driving,Illinois,United States,2020-03-28,47.85
city,Chicago,driving,Illinois,United States,2020-03-29,38.57
city,Chicago,driving,Illinois,United States,2020-03-30,49.45
city,Chicago,driving,Illinois,United States,2020-03-31,50.11
city,Chicago,driving,Illinois,United States,2020-04-01,51.83
city,Chicago,driving,Illinois,United States,2020-04-02,53.18
city,Chicago,driving,Illinois,United States,2020-04-03,60.69
city,Chicago,driving,Illinois,United States,2020-04-04,51.68
city,Chicago,driving,Illinois,United States,2020-04-05,42.15
city,Chicago,driving,Illinois,United States,2020-04-06,50.47
city,Chicago,driving,Illinois,United States,2020-04-07,54.89
city,Chicago,driving,Illinois,United States,2020-04-08,52.65
city,Chicago,driving,Illinois,United States,2020-04-09,54.2
city,Chicago,driving,Illinois,United States,2020-04-10,62.27
city,Chicago,driving,Illinois,United States,2020-04-11,57.07
city,Chicago,driving,Illinois,United States,2020-04-12,38.31
city,Chicago,driving,Illinois,United States,2020-04-13,52.4
city,Chicago,driving,Illinois,United States,2020-04-14,54.24
city,Chicago,driving,Illinois,United States,2020-04-15,58.82
city,Chicago,driving,Illinois,United States,2020-04-16,60.37
city,Chicago,driving,Illinois,United States,2020-04-17,63.03
city,Chicago,driving,Illinois,United States,2020-04-18,66.6
city,Chicago,driving,Illinois,United States,2020-04-19,52.76
city,Chicago,driving,Illinois,United States,2020-04-20,63.72
city,Chicago,driving,Illinois,United States,2020-04-21,62
city,Chicago,driving,Illinois,United States,2020-04-22,61.3
city,Chicago,driving,Illinois,United States,2020-04-23,64.21
city,Chicago,driving,Illinois,United States,2020-04-24,71.76
city,Chicago,driving,Illinois,United States,2020-04-25,64.36
city,Chicago,driving,Illinois,United States,2020-04-26,57.52
city,Chicago,driving,Illinois,United States,2020-04-27,62.12
city,Chicago,driving,Illinois,United States,2020-04-28,64.69
city,Chicago,driving,Illinois,United States,2020-04-29,62.47
city,Chicago,driving,Illinois,United States,2020-04-30,68.94
city,Chicago,driving,Illinois,United States,2020-05-01,82.63
city,Chicago,driving,Illinois,United States,2020-05-02,84.47
city,Chicago,driving,Illinois,United States,2020-05-03,64.17
city,Chicago,driving,Illinois,United States,2020-05-04,67.98
city,Chicago,driving,Illinois,United States,2020-05-05,68.33
city,Chicago,driving,Illinois,United States,2020-05-06,74.81
city,Chicago,driving,Illinois,United States,2020-05-07,78.22
city,Chicago,driving,Illinois,United States,2020-05-08,86.87
city,Chicago,driving,Illinois,United States,2020-05-09,89.82
city,Chicago,driving,Illinois,United States,2020-05-10,63.01
city,Chicago,driving,Illinois,United States,2020-05-11,NA
city,Chicago,driving,Illinois,United States,2020-05-12,NA
city,Chicago,driving,Illinois,United States,2020-05-13,81.62
city,Chicago,driving,Illinois,United States,2020-05-14,75.81
city,Chicago,driving,Illinois,United States,2020-05-15,98.86
city,Chicago,driving,Illinois,United States,2020-05-16,93.06
city,Chicago,driving,Illinois,United States,2020-05-17,65.56
city,Chicago,driving,Illinois,United States,2020-05-18,84.56
city,Chicago,driving,Illinois,United States,2020-05-19,86.07
city,Chicago,driving,Illinois,United States,2020-05-20,92.37
city,Chicago,driving,Illinois,United States,2020-05-21,94.57
city,Chicago,driving,Illinois,United States,2020-05-22,108.78
city,Chicago,driving,Illinois,United States,2020-05-23,93.97
city,Chicago,driving,Illinois,United States,2020-05-24,85.41
city,Chicago,driving,Illinois,United States,2020-05-25,77.37
city,Chicago,driving,Illinois,United States,2020-05-26,93.96
city,Chicago,driving,Illinois,United States,2020-05-27,95.52
city,Chicago,driving,Illinois,United States,2020-05-28,96.74
city,Chicago,driving,Illinois,United States,2020-05-29,117.68
city,Chicago,driving,Illinois,United States,2020-05-30,116.09
city,Chicago,driving,Illinois,United States,2020-05-31,90.53
city,Chicago,driving,Illinois,United States,2020-06-01,95.48
city,Chicago,driving,Illinois,United States,2020-06-02,101.41
city,Chicago,driving,Illinois,United States,2020-06-03,101.67
city,Chicago,driving,Illinois,United States,2020-06-04,111.51
city,Chicago,driving,Illinois,United States,2020-06-05,124.98
city,Chicago,driving,Illinois,United States,2020-06-06,127.81
city,Chicago,driving,Illinois,United States,2020-06-07,96.98
city,Chicago,driving,Illinois,United States,2020-06-08,113.25
city,Chicago,driving,Illinois,United States,2020-06-09,107.41
city,Chicago,driving,Illinois,United States,2020-06-10,112.9
city,Chicago,driving,Illinois,United States,2020-06-11,124.25
city,Chicago,driving,Illinois,United States,2020-06-12,138.21
city,Chicago,driving,Illinois,United States,2020-06-13,129.88
city,Chicago,driving,Illinois,United States,2020-06-14,103.23
city,Chicago,driving,Illinois,United States,2020-06-15,116.79
city,Chicago,driving,Illinois,United States,2020-06-16,122.06
city,Chicago,driving,Illinois,United States,2020-06-17,124.24
city,Chicago,driving,Illinois,United States,2020-06-18,131.17
city,Chicago,driving,Illinois,United States,2020-06-19,152.31
city,Chicago,driving,Illinois,United States,2020-06-20,130.93
city,Chicago,driving,Illinois,United States,2020-06-21,100.88
city,Chicago,driving,Illinois,United States,2020-06-22,113.32
city,Chicago,driving,Illinois,United States,2020-06-23,127.85
city,Chicago,driving,Illinois,United States,2020-06-24,129.89
city,Chicago,driving,Illinois,United States,2020-06-25,137.92
city,Chicago,driving,Illinois,United States,2020-06-26,138.54
city,Chicago,driving,Illinois,United States,2020-06-27,147.1
city,Chicago,driving,Illinois,United States,2020-06-28,116.73
city,Chicago,driving,Illinois,United States,2020-06-29,124.18
city,Chicago,driving,Illinois,United States,2020-06-30,135.76
city,Chicago,driving,Illinois,United States,2020-07-01,141.97
city,Chicago,driving,Illinois,United States,2020-07-02,151.04
city,Chicago,driving,Illinois,United States,2020-07-03,149.45
city,Chicago,driving,Illinois,United States,2020-07-04,117.39
city,Chicago,driving,Illinois,United States,2020-07-05,108.55
city,Chicago,driving,Illinois,United States,2020-07-06,129.66
city,Chicago,driving,Illinois,United States,2020-07-07,132.77
city,Chicago,driving,Illinois,United States,2020-07-08,136.01
city,Chicago,driving,Illinois,United States,2020-07-09,138.68
city,Chicago,driving,Illinois,United States,2020-07-10,158.22
city,Chicago,driving,Illinois,United States,2020-07-11,150.26
city,Chicago,driving,Illinois,United States,2020-07-12,119.89
city,Chicago,driving,Illinois,United States,2020-07-13,132.7
city,Chicago,driving,Illinois,United States,2020-07-14,136.92
city,Chicago,driving,Illinois,United States,2020-07-15,133.1
city,Chicago,driving,Illinois,United States,2020-07-16,145.38
city,Chicago,driving,Illinois,United States,2020-07-17,166.11
city,Chicago,driving,Illinois,United States,2020-07-18,154.24
city,Chicago,driving,Illinois,United States,2020-07-19,114.04
city,Chicago,driving,Illinois,United States,2020-07-20,131.55
city,Chicago,driving,Illinois,United States,2020-07-21,131.58
city,Chicago,driving,Illinois,United States,2020-07-22,140.82
city,Chicago,driving,Illinois,United States,2020-07-23,145.34
city,Chicago,driving,Illinois,United States,2020-07-24,164.6
city,Chicago,driving,Illinois,United States,2020-07-25,158.62
city,Chicago,driving,Illinois,United States,2020-07-26,121.59
city,Chicago,driving,Illinois,United States,2020-07-27,129.3
city,Chicago,driving,Illinois,United States,2020-07-28,136.67
city,Chicago,driving,Illinois,United States,2020-07-29,139.41
city,Chicago,driving,Illinois,United States,2020-07-30,143.9
city,Chicago,driving,Illinois,United States,2020-07-31,158.33
city,Chicago,driving,Illinois,United States,2020-08-01,151.5
city,Chicago,driving,Illinois,United States,2020-08-02,118.15
city,Chicago,driving,Illinois,United States,2020-08-03,130.8
city,Chicago,driving,Illinois,United States,2020-08-04,136.6
city,Chicago,driving,Illinois,United States,2020-08-05,137.49
city,Chicago,driving,Illinois,United States,2020-08-06,142.58
city,Chicago,driving,Illinois,United States,2020-08-07,162.59
city,Chicago,driving,Illinois,United States,2020-08-08,155.45
city,Chicago,driving,Illinois,United States,2020-08-09,122.48
city,Chicago,driving,Illinois,United States,2020-08-10,124.78
city,Chicago,driving,Illinois,United States,2020-08-11,143.08
city,Chicago,driving,Illinois,United States,2020-08-12,144.22
city,Chicago,driving,Illinois,United States,2020-08-13,145.62
city,Chicago,driving,Illinois,United States,2020-08-14,164.33
city,Chicago,driving,Illinois,United States,2020-08-15,151.2
city,Chicago,driving,Illinois,United States,2020-08-16,121.45
city,Chicago,driving,Illinois,United States,2020-08-17,127.35
city,Chicago,driving,Illinois,United States,2020-08-18,131.22
city,Chicago,driving,Illinois,United States,2020-08-19,134.09
city,Chicago,driving,Illinois,United States,2020-08-20,138.01
city,Chicago,driving,Illinois,United States,2020-08-21,157.92
city,Chicago,driving,Illinois,United States,2020-08-22,152.1
city,Chicago,driving,Illinois,United States,2020-08-23,114.52
city,Chicago,driving,Illinois,United States,2020-08-24,122.62
city,Chicago,driving,Illinois,United States,2020-08-25,124.18
city,Chicago,driving,Illinois,United States,2020-08-26,127.44
city,Chicago,driving,Illinois,United States,2020-08-27,130.81
