symbol,company_name,last_price,change,percent_change,market_time,volume,avg_vol_3_month,market_cap
JNJ,Johnson & Johnson,152.47,0.53,+0.35%,1:00 PM EST,2.09M,7.19M,401.38B
RHHBY,Roche Holding AG,42.55,0.06,+0.14%,1:00 PM EST,721.67k,1.33M,290.62B
PFE,Pfizer Inc.,37.27,-0.17,-0.45%,1:02 PM EST,14.64M,43.28M,207.16B
MRK,"Merck & Co., Inc.",80.14,0.38,+0.48%,1:02 PM EST,2.80M,8.80M,202.76B
NVS,Novartis AG,88.55,0.17,+0.19%,1:00 PM EST,557.24k,1.90M,201.65B
ABBV,AbbVie Inc.,103.26,-0.02,-0.02%,1:02 PM EST,1.37M,8.36M,182.30B
NVO,Novo Nordisk A/S,69.43,-0.19,-0.27%,1:00 PM EST,277.20k,1.14M,160.92B
LLY,Eli Lilly and Company,166.66,1.18,+0.71%,1:02 PM EST,619.48k,4.20M,159.42B
BMY,Bristol-Myers Squibb Company,61.15,0.15,+0.25%,1:00 PM EST,3.07M,10.59M,138.18B
AMGN,Amgen Inc.,222.93,-0.01,-0.00%,1:00 PM EST,912.39k,2.62M,129.78B
AZN,AstraZeneca PLC,48.52,-0.25,-0.51%,1:00 PM EST,4.91M,7.64M,126.37B
SNY,Sanofi,47.45,-0.13,-0.27%,1:00 PM EST,477.62k,1.33M,119.44B
GSK,GlaxoSmithKline plc,36.14,-0.09,-0.25%,1:00 PM EST,1.29M,4.95M,91.21B
GLAXF,GlaxoSmithKline plc,17.79,-0.46,-2.52%,12:07 PM EST,1.34k,253.49k,88.83B
ZTS,Zoetis Inc.,160.72,0.87,+0.54%,1:03 PM EST,414.69k,1.75M,76.39B
GILD,"Gilead Sciences, Inc.",57.07,-0.31,-0.54%,1:00 PM EST,3.26M,9.49M,71.54B
VRTX,Vertex Pharmaceuticals Incorporated,234.46,-1.38,-0.59%,1:00 PM EST,446.67k,2.13M,60.97B
BAYRY,Bayer Aktiengesellschaft,14.59,-0.09,-0.61%,12:59 PM EST,366.53k,797.87k,57.33B
TAK,Takeda Pharmaceutical Company Limited,18.11,-0.17,-0.93%,1:00 PM EST,1.88M,1.34M,56.34B
REGN,"Regeneron Pharmaceuticals, Inc.",488.93,-3.26,-0.66%,1:00 PM EST,286.59k,1.03M,52.17B
MRNA,"Moderna, Inc.",123.39,-6.95,-5.33%,1:00 PM EST,12.51M,19.64M,48.83B
BIIB,Biogen Inc.,248.89,-2.31,-0.92%,1:00 PM EST,444.89k,1.65M,38.30B
SGEN,Seagen Inc.,190.61,-0.58,-0.30%,1:00 PM EST,246.96k,921.99k,34.12B
ALXN,"Alexion Pharmaceuticals, Inc.",152.63,-0.61,-0.40%,1:00 PM EST,1.07M,2.38M,33.38B
RPRX,Royalty Pharma plc,48.9,0.29,+0.60%,1:00 PM EST,1.58M,2.12M,30.57B
GMAB,Genmab A/S,39.11,0.02,+0.05%,1:00 PM EST,96.45k,504.87k,25.61B
BGNE,"BeiGene, Ltd.",263.72,-0.14,-0.05%,1:00 PM EST,77.94k,399.97k,23.74B
BNTX,BioNTech SE,96.96,-3.1,-3.10%,1:00 PM EST,1.03M,3.94M,23.35B
VTRS,Viatris Inc.,17.77,-0.11,-0.62%,1:00 PM EST,1.93M,11.64M,21.36B
INCY,Incyte Corporation,87.37,-0.56,-0.64%,1:00 PM EST,177.61k,1.15M,19.13B
