date,BMRN,NVS,GSK,AZN,LLY
2020-01-31,83.5,91.200462,44.542831,47.348907,136.894913
2020-02-29,90.370003,81.019897,39.113956,43.452625,124.291389
2020-03-31,84.5,82.449997,36.566193,44.305805,136.697861
2020-04-30,92.019997,84.730003,40.600155,51.865368,152.385788
2020-05-31,106.550003,87.43,40.90715,54.166969,151.429977
2020-06-30,123.339996,87.339996,39.804459,52.470531,162.54837
2020-07-31,119.809998,82.139999,39.345814,55.337612,148.796417
2020-08-31,78.029999,86.059998,39.098553,56,147.631439
2020-09-30,76.080002,86.959999,37.163372,54.799999,147.263336
2020-10-31,74.43,78.080002,32.996807,50.16,129.793106
2020-11-30,78.699997,90.830002,36.790001,52.939999,145.649994
2020-12-31,86.18,93.349998,36.98,49.900002,166.580002
